cohort	gsm	stage	gene	raw	cpm	norm	lib_size	size_factor
GSE135251	GSM3998175	0	COL1A1	115	6.13440775440349	156.496825741459	18746716	0.734839185748
GSE135251	GSM3998176	2	COL1A1	136	5.65360542473417	142.507376837699	24055446	0.954336561502283
GSE135251	GSM3998177	1	COL1A1	209	7.83647606644597	193.454716199895	26670151	1.08035618932155
GSE135251	GSM3998178	2	COL1A1	231	9.26593683976439	234.990187502646	24930021	0.983019769697401
GSE135251	GSM3998179	3	COL1A1	392	17.8265611122028	432.709827918791	21989659	0.905918873822226
GSE135251	GSM3998180	2	COL1A1	172	7.36371192730818	174.595729425401	23357785	0.985132915713666
GSE135251	GSM3998181	1	COL1A1	168	7.33566729814536	195.183863036611	22901802	0.860726893024389
GSE135251	GSM3998182	2	COL1A1	118	4.55898803138145	128.512516929492	25882937	0.91819849785325
GSE135251	GSM3998183	1	COL1A1	115	5.24904337325619	129.392242271128	21908754	0.888770439258868
GSE135251	GSM3998184	2	COL1A1	392	14.8049163350384	358.373163989343	26477691	1.09383190313786
GSE135251	GSM3998185	3	COL1A1	641	23.0273243811766	581.240410742049	27836495	1.10281389276024
GSE135251	GSM3998186	2	COL1A1	108	4.21004179168152	99.8614346884038	25652952	1.08149858187989
GSE135251	GSM3998187	2	COL1A1	527	23.1479081933756	489.100404794407	22766636	1.07748837423581
GSE135251	GSM3998188	3	COL1A1	939	34.3933455212996	770.931508052522	27301793	1.21800703459642
GSE135251	GSM3998189	0	COL1A1	175	6.88150840776799	169.854630016537	25430471	1.03029278614874
GSE135251	GSM3998190	3	COL1A1	280	12.9699216862232	310.370672648883	21588411	0.902147092733722
GSE135251	GSM3998191	4	COL1A1	643	25.908107368032	556.787094271511	24818486	1.15483998572432
GSE135251	GSM3998192	1	COL1A1	143	6.68921164880834	154.834651580449	21377706	0.923565871982476
GSE135251	GSM3998193	3	COL1A1	254	12.7534375409685	299.170078076402	19916199	0.849015388280688
GSE135251	GSM3998194	1	COL1A1	99	4.93731997484061	106.247135470086	20051364	0.931789827198437
GSE135251	GSM3998195	3	COL1A1	692	29.013735907584	631.890848352137	23850772	1.09512584618786
GSE135251	GSM3998196	1	COL1A1	415	21.690121440638	484.691345169984	19133134	0.856214999783949
GSE135251	GSM3998197	1	COL1A1	412	13.9052274373763	323.217254420958	29629145	1.27468442468548
GSE135251	GSM3998198	1	COL1A1	224	6.94444552090239	162.585052267577	32255995	1.37774043109048
GSE135251	GSM3998199	2	COL1A1	744	30.6535131233293	624.507453545696	24271280	1.191338863573
GSE135251	GSM3998200	3	COL1A1	412	14.9053019497618	372.578339312799	27641171	1.10580770948712
GSE135251	GSM3998201	4	COL1A1	716	31.3272804302198	697.755657631398	22855479	1.02614717941598
GSE135251	GSM3998202	0	COL1A1	637	26.8496851358078	629.088646032144	23724673	1.01257589692288
GSE135251	GSM3998203	3	COL1A1	251	10.7354130009615	264.721298412357	23380563	0.948167002448805
GSE135251	GSM3998204	1	COL1A1	507	24.8303151603669	628.001690488738	20418589	0.807322667563889
GSE135251	GSM3998205	1	COL1A1	96	4.48480079986422	111.564742795256	21405633	0.860486902893506
GSE135251	GSM3998206	0	COL1A1	114	5.41271218187852	110.448420253857	21061530	1.03215600311874
GSE135251	GSM3998207	3	COL1A1	681	32.5594744700013	693.665492403572	20915571	0.981741210219806
GSE135251	GSM3998208	4	COL1A1	77	3.22846861951562	86.7933484166764	23850317	0.887164758644169
GSE135251	GSM3998209	3	COL1A1	520	24.0055449115585	517.576096621818	21661662	1.00468318261605
GSE135251	GSM3998210	3	COL1A1	960	50.4494944855549	1109.08763602405	19028932	0.865576324916473
GSE135251	GSM3998211	2	COL1A1	357	17.8375288916754	392.537926287137	20013983	0.909466260691608
GSE135251	GSM3998212	1	COL1A1	142	6.60598557187622	150.428245245818	21495657	0.943971657503246
GSE135251	GSM3998213	0	COL1A1	381	12.4811124897117	297.808084999988	30526125	1.27934740253951
