approvedSymbol	log2FC_shrunk	padj	baseMean	sm_evidence	sm_categories
APOBEC3G	0.541008061673005	0.0074519351217911	83.8104377960857	strong	Structure with Ligand;High-Quality Pocket;Druggable Family
SPAG8	0.737922364966745	0.0074897540794824	8.07524199783758	weak	Structure with Ligand
NLRP1	0.554064868923091	0.0075735515574663	142.706502494258	weak	Structure with Ligand
HEG1	0.509577420391898	0.0075976191040895	339.65952714043	weak	Structure with Ligand
RGS1	-1.59975779400692	0.0081664554431936	83.1097331012217	weak	Structure with Ligand
GCHFR	-0.534957139223009	0.0086337672410047	1054.48480450113	weak	Structure with Ligand
SLC7A8	-0.64107277048725	0.0086520935817337	165.861340478863	weak	Structure with Ligand
RIPK3	0.622909980670893	0.0086977768922239	18.2360436266447	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
PIEZO1	0.559354808988871	0.0087444224805982	537.247764039904	weak	Structure with Ligand
FCN3	-0.656886211956678	0.0088712470833831	2832.13611121658	strong	Structure with Ligand;High-Quality Pocket
GLI1	0.726129744360808	0.0090872946627276	11.4483012589667	strong	High-Quality Ligand
STK39	0.51145095094413	0.0091947415073102	25.6368771287785	strong	High-Quality Ligand;Druggable Family
NR0B2	-0.821142304169151	0.0097332778571974	1055.80702732553	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
RUNX1T1	0.580232411916879	0.0100733200006686	29.5468408443487	strong	High-Quality Pocket
UNC79	-0.632258662188078	0.0100799898552084	7.25334142779963	weak	Structure with Ligand
UCN	1.03373542137738	0.0100799898552084	9.58326812167162	weak	Structure with Ligand
PKMYT1	0.880437891777727	0.0103763849783007	9.15262048912099	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
KIF23	0.723105273139042	0.0104848862840219	8.05839094613488	weak	Structure with Ligand
CKB	0.717474614355757	0.0106544643568008	82.6804205209794	strong	Structure with Ligand;High-Quality Pocket
SNAI1	0.576749602396943	0.0107482152488466	21.2078161713529	weak	Structure with Ligand
P2RX1	0.976119456037418	0.0107740041824454	9.61962808734846	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
IL3RA	0.644638132025142	0.0110041167513941	16.451614008873	weak	Structure with Ligand
ERN1	-0.5163260497513	0.0115994836429389	563.833033596124	strong	Structure with Ligand;High-Quality Ligand;Med-Quality Pocket;Druggable Family
CHTF18	0.818208644389394	0.0117719370075947	43.2967102941715	weak	Structure with Ligand
GLUL	-0.511747905696308	0.0118062144897962	14913.0612933928	strong	Structure with Ligand;High-Quality Pocket;Druggable Family
HPRT1	-0.613643205290404	0.0118709293698401	310.137856401619	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
LOX	0.777053986469079	0.0142595193903323	16.3984424900441	strong	High-Quality Ligand
TREM2	0.983710210841063	0.0143117517625362	18.4559506051735	weak	Structure with Ligand
CD40LG	0.77014843859556	0.0143117517625362	9.55684595149169	strong	Structure with Ligand;High-Quality Pocket
DNMT3L	-0.650837732808232	0.0145636933874563	60.2578301672398	strong	Structure with Ligand;High-Quality Ligand;Med-Quality Pocket
SLCO1B3	-0.851982919277632	0.0147814526767813	1732.64316263902	weak	Structure with Ligand
S100A13	0.646628624643103	0.0157130565972953	72.7232123479367	weak	Structure with Ligand;Med-Quality Pocket
ASIC3	0.995021668365698	0.0161199285382273	12.1504067696456	strong	High-Quality Ligand;Druggable Family
ISG20	0.506818429350225	0.0161337000727708	57.8096801512614	weak	Structure with Ligand
MAPK8IP3	0.628403271275527	0.0162340899014095	356.226869139546	weak	Structure with Ligand
LGALS4	0.905479891848885	0.0166992522440332	2383.69460316459	strong	Structure with Ligand;High-Quality Ligand
FOS	-3.41580973847306	0.0168831577327142	148.220815156917	strong	High-Quality Ligand;Druggable Family
PTPRT	-0.876647925387061	0.0175720761037472	11.7925888850898	weak	Structure with Ligand
CD4	-0.547820580919353	0.0197444350853063	2557.45117484553	weak	Structure with Ligand
NFATC1	0.562793382108992	0.0199458807349629	38.2064714306347	strong	High-Quality Ligand;High-Quality Pocket
UCHL1	0.933345079478166	0.020033161452602	6.30390338521713	strong	Structure with Ligand;High-Quality Ligand;Med-Quality Pocket;Druggable Family
RGS2	-1.04294594255003	0.0201032153387044	110.185098628724	weak	Structure with Ligand
RERG	0.565001147810363	0.0203837748970662	28.4118793265359	weak	Structure with Ligand
CD1E	0.806727386289459	0.0205170321439131	12.9325836635194	strong	High-Quality Pocket
CXCR3	0.851496049090787	0.0208245931194313	7.94247725969667	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
NME5	0.859358713994997	0.0218696365582005	7.34816419157014	weak	Structure with Ligand
SLFN12	0.585529852609224	0.0224556333370657	26.0537062204097	weak	Structure with Ligand
UBE2T	0.543763754978226	0.0231170655960668	16.0843127438059	weak	Structure with Ligand;Med-Quality Pocket
FABP3	-0.587365144901255	0.0231497261783681	76.6086312418374	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket
ZNF692	0.624884862795205	0.0235254982781425	224.272503176933	weak	Structure with Ligand
POU5F1	0.823182703343131	0.0245918933979362	20.1709065865674	weak	Structure with Ligand
CFAP43	0.622134647810206	0.0269146849289008	7.90798690155725	weak	Structure with Ligand
CDC42BPG	0.548501833396796	0.0272200842222857	21.4734379813898	strong	High-Quality Ligand;Druggable Family
PLIN1	-0.520909187694718	0.0275914132377129	759.390318476779	strong	High-Quality Ligand
EYA2	0.954779617459375	0.0293043895328057	26.4612343256783	strong	Structure with Ligand;High-Quality Ligand;Med-Quality Pocket
GINS1	0.506609297042631	0.0298701903252984	26.4924904639182	weak	Structure with Ligand
